Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,192.0,1.0,192.0,192.0,0.1,76.5600000000001,0.0,0.0,0.014774322509765625,,,,,,,,,,,,,,,,,,,,,34.344133207798244,19.54703488687467,70.10606845494415,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,283.0,2.0,91.0,283.0,0.1,25.070000000000004,0.0,0.0,8.97563099861145,,,,,,,,,,,,,,,,,,,,,10.129125494112557,6.9198369190033535,24.196618620658455,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,453.0,3.0,170.0,453.0,0.1,44.30000000000006,0.0,0.0,25.125757694244385,,,,,,,,,,,,,,,,,,,,,19.192999366191987,12.94177087603545,41.119387763887396,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,620.0,4.0,167.0,620.0,0.1,44.270000000000046,0.0,0.0,41.15750288963318,,,,,,,,,,,,,,,,,,,,,18.763578573114998,11.20376901725785,41.218878917245355,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,717.0,5.0,97.0,717.0,0.1,27.86000000000005,0.0,0.0,50.90625047683716,,,,,,,,,,,,,,,,,,,,,8.645742021867012,7.028728909951533,27.07548692223646,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,779.0,6.0,62.0,779.0,0.1,19.00000000000003,0.0,0.0,56.98014259338379,,,,,,,,,,,,,,,,,,,,,6.711266987532347,5.961923966719724,18.621125075799526,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,864.0,7.0,85.0,864.0,0.1,27.459999999999997,0.0,0.0,65.35193109512329,,,,,,,,,,,,,,,,,,,,,11.600486458603402,8.129670393847709,26.526986096225066,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,956.0,8.0,92.0,956.0,0.1,18.470000000000002,0.0,0.0,74.19584226608276,,,,,,,,,,,,,,,,,,,,,7.566023685939421,4.615667942847489,17.809527065497505,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,993.0,9.0,37.0,993.0,0.1,10.86999999999999,0.0,0.0,78.07264924049377,,,,,,,,,,,,,,,,,,,,,2.809587565550596,3.2371083623747765,10.787609691848631,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,1038.0,10.0,45.0,1038.0,0.1,19.97000000000002,0.0,0.0,82.41707825660706,,,,,,,,,,,,,,,,,,,,,6.618530739633397,6.990932805824533,19.71156954423543,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,1115.0,11.0,77.0,1115.0,0.1,15.46999999999998,0.0,0.0,89.77838373184204,,,,,,,,,,,,,,,,,,,,,3.6103088914590935,4.0468592529548,15.222435864651084,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,1189.0,12.0,74.0,1189.0,0.1,35.860000000000014,0.0,0.0,97.01948952674866,,,,,,,,,,,,,,,,,,,,,13.58712773183127,11.04779926175425,34.92436635619053,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,1341.0,13.0,152.0,1341.0,0.1,66.16000000000007,0.0,0.0,111.6854076385498,,,,,,,,,,,,,,,,,,,,,26.560246709173104,19.494176011588888,62.24727480253595,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,1392.0,14.0,51.0,1392.0,0.1,22.660000000000018,0.0,0.0,116.89275312423706,,,,,,,,,,,,,,,,,,,,,7.655493577687236,7.132167870953469,22.314175865092267,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,1565.0,15.0,173.0,1565.0,0.1,49.97000000000012,0.0,0.0,133.74165415763855,,,,,,,,,,,,,,,,,,,,,17.2111280473693,12.645708988397498,47.08660096313041,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,1751.0,16.0,186.0,1751.0,0.1,64.4700000000001,0.0,0.0,151.419602394104,,,,,,,,,,,,,,,,,,,,,28.547193026084695,18.070600848747638,59.27872025894588,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,1949.0,17.0,198.0,1949.0,0.1,59.21000000000007,0.0,0.0,170.25812125205994,,,,,,,,,,,,,,,,,,,,,24.955947854862092,15.75807300573109,54.37742279290033,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,2059.0,18.0,110.0,2059.0,0.1,43.849999999999994,0.0,0.0,180.94597578048706,,,,,,,,,,,,,,,,,,,,,17.835321850273385,11.655067744867015,41.97201665776881,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
